edge_id,parent_page_id,parent_url,auth_state,viewport,scroll_state,control_text,control_href,visibility_proof,clicked,child_page_id,child_url,evidence,scope_effect,notes
EDGE-MY-MYPUB,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,scroll-600,我的项目,/plugin.php?id=xigua_hb&ac=mypub,CLIP_AREA_HIT,true,CONTENT-MY-PUBLICATIONS,/plugin.php?id=xigua_hb&ac=mypub,evidence/R05/reachability-correction/r05-clicked-candidates.json,CLICK_PROVEN,"user-specific count removed from evidence"
EDGE-MY-REVIEW,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,scroll-600,项目审核,/plugin.php?id=xigua_hb&ac=manage&stat=display&display=0,CLIP_AREA_HIT,true,CONTENT-REVIEW,/plugin.php?id=xigua_hb&ac=manage&stat=display&display=0,evidence/R05/reachability-correction/r05-clicked-candidates.json,CLICK_PROVEN,"moderation writes remain forbidden"
EDGE-MY-SETTINGS,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,top,设置,/plugin.php?id=xigua_hb&ac=shezhi,CLIP_AREA_HIT,true,ACCOUNT-SETTINGS,/plugin.php?id=xigua_hb&ac=shezhi,evidence/R05/reachability-correction/settings-clicked-entries.json,CLICK_PROVEN,"settings hub reached through visible icon"
EDGE-SETTINGS-PROFILE,ACCOUNT-SETTINGS,/plugin.php?id=xigua_hb&ac=shezhi,authenticated,390x844,account-settings,资料设置,/plugin.php?id=xigua_member:profile,CLIP_AREA_HIT,true,ACCOUNT-PROFILE,/plugin.php?id=xigua_member:profile,evidence/R05/reachability-correction/settings-clicked-entries.json,CLICK_PROVEN,"save and upload were not invoked"
EDGE-SETTINGS-ADDRESS,ACCOUNT-SETTINGS,/plugin.php?id=xigua_hb&ac=shezhi,authenticated,390x844,account-settings,收货地址,/plugin.php?id=xigua_hb&ac=myaddr&mobile=2,CLIP_AREA_HIT,true,ACCOUNT-ADDRESS,/plugin.php?id=xigua_hb&ac=myaddr&mobile=2,evidence/R05/reachability-correction/settings-clicked-entries.json,CLICK_PROVEN,"add edit delete and default actions were not invoked"
EDGE-SETTINGS-CONTACT,ACCOUNT-SETTINGS,/plugin.php?id=xigua_hb&ac=shezhi,authenticated,390x844,account-settings,联系方式,/plugin.php?id=tb_credit&modac=userext,CLIP_AREA_HIT,true,ACCOUNT-CONTACT,/plugin.php?id=tb_credit&modac=userext,evidence/R05/reachability-correction/settings-clicked-entries.json,CLICK_PROVEN,"save was not invoked"
EDGE-SETTINGS-USER-AGREEMENT,ACCOUNT-SETTINGS,/plugin.php?id=xigua_hb&ac=shezhi,authenticated,390x844,agreements,服务协议,/m/yhxy.html,CLIP_AREA_HIT,true,LEGAL-USER-AGREEMENT,/m/yhxy.html,evidence/R05/reachability-correction/settings-clicked-entries.json,CLICK_PROVEN,"visible label routes to the user agreement file"
EDGE-SETTINGS-PRIVACY,ACCOUNT-SETTINGS,/plugin.php?id=xigua_hb&ac=shezhi,authenticated,390x844,agreements,隐私政策,/m/yszc.html,CLIP_AREA_HIT,true,LEGAL-PRIVACY,/m/yszc.html,evidence/R05/reachability-correction/settings-clicked-entries.json,CLICK_PROVEN,"legal copy remains frozen"
EDGE-SETTINGS-CONSUMER,ACCOUNT-SETTINGS,/plugin.php?id=xigua_hb&ac=shezhi,authenticated,390x844,agreements,消费协议,/m/xfxy.html,CLIP_AREA_HIT,true,LEGAL-CONSUMER-AGREEMENT,/m/xfxy.html,evidence/R05/reachability-correction/settings-clicked-entries.json,CLICK_PROVEN,"legal copy remains frozen"
EDGE-SETTINGS-CANCEL,ACCOUNT-SETTINGS,/plugin.php?id=xigua_hb&ac=shezhi,authenticated,390x844,other,注销账号,/plugin.php?id=deluser,CLIP_AREA_HIT,true,ACCOUNT-CANCEL,/plugin.php?id=deluser,evidence/R05/reachability-correction/settings-clicked-entries.json,CLICK_PROVEN,"confirmation page only; destructive action was not clicked"
EDGE-MY-MESSAGES,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,top,消息,/plugin.php?id=xigua_lt,CLIP_AREA_HIT,true,COMMUNICATION-CHAT-LIST,/plugin.php?id=xigua_lt,evidence/R05/reachability-correction/wallet-and-message-reachability.json,CLICK_PROVEN,"conversation contents and identities were not stored"
EDGE-CHATLIST-DETAIL,COMMUNICATION-CHAT-LIST,/plugin.php?id=xigua_lt,authenticated-isolated-fixture,390x844,list,synthetic conversation row,/plugin.php?id=xigua_lt&ac=chat&touid={sanitized},CLIP_AREA_HIT,true,COMMUNICATION-CHAT-DETAIL,/plugin.php?id=xigua_lt&ac=chat&touid={sanitized},evidence/R09/member-chat/R09_MEMBER_CHAT_PROGRESS.md,CLICK_PROVEN,"visible area 10992.8 square pixels; synthetic row clicked and later removed with the peer fixture"
EDGE-CHAT-AVATAR-MEMBER,COMMUNICATION-CHAT-DETAIL,/plugin.php?id=xigua_lt&ac=chat&touid={sanitized},authenticated-isolated-fixture,390x844,synthetic-message,peer avatar,/plugin.php?id=xigua_hb&ac=member&uid={sanitized},CLIP_AREA_HIT,true,CONTENT-MEMBER,/plugin.php?id=xigua_hb&ac=member&uid={sanitized},evidence/R09/member-chat/R09_MEMBER_CHAT_PROGRESS.md,CLICK_PROVEN,"40x40 avatar exposed 1600 square pixels; click reached member detail and synthetic visit-log residue was removed"
EDGE-MY-VIP,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,member,MEMBER-VIP,/plugin.php?id=xigua_hb&ac=vip,CLIP_AREA_HIT,true,MEMBERSHIP-VIP,/plugin.php?id=xigua_hb&ac=vip,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"purchase was not clicked"
EDGE-MY-WALLET,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,wallet,提成账户立即提现,/plugin.php?id=xigua_hb&ac=qianbao,CLIP_AREA_HIT,true,FINANCE-WALLET,/plugin.php?id=xigua_hb&ac=qianbao,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"balance and identity values were not stored"
EDGE-WALLET-WITHDRAW,FINANCE-WALLET,/plugin.php?id=xigua_hb&ac=qianbao,authenticated,390x844,wallet-top,提现账户,/plugin.php?id=xigua_hb&ac=mytx&idu={sanitized},CLIP_AREA_HIT,true,FINANCE-WITHDRAW,/plugin.php?id=xigua_hb&ac=mytx&idu={sanitized},evidence/R05/reachability-correction/wallet-and-message-reachability.json,CLICK_PROVEN,"withdrawal form only; no submission"
EDGE-WALLET-INCOME,FINANCE-WALLET,/plugin.php?id=xigua_hb&ac=qianbao,authenticated,390x844,wallet-tabs,收益记录,/plugin.php?id=xigua_hb&ac=qianbao&type=in&idu={sanitized},CLIP_AREA_HIT,true,FINANCE-WALLET,/plugin.php?id=xigua_hb&ac=qianbao&type=in&idu={sanitized},evidence/R05/reachability-correction/wallet-and-message-reachability.json,CLICK_PROVEN,"wallet income state"
EDGE-WALLET-OUT,FINANCE-WALLET,/plugin.php?id=xigua_hb&ac=qianbao,authenticated,390x844,wallet-tabs,提现记录,/plugin.php?id=xigua_hb&ac=qianbao&type=out&idu={sanitized},CLIP_AREA_HIT,true,FINANCE-WALLET,/plugin.php?id=xigua_hb&ac=qianbao&type=out&idu={sanitized},evidence/R05/reachability-correction/wallet-and-message-reachability.json,CLICK_PROVEN,"wallet withdrawal-history state"
EDGE-WALLET-MEMBER,FINANCE-WALLET,/plugin.php?id=xigua_hb&ac=qianbao,authenticated,390x844,wallet-list,transaction member,/plugin.php?id=xigua_hb&ac=member&uid={sanitized},CLIP_AREA_HIT,false,CONTENT-MEMBER,/plugin.php?id=xigua_hb&ac=member&uid={sanitized},evidence/R05/reachability-correction/wallet-and-message-reachability.json,VISIBLE_ENTRY_PENDING_ISOLATED_CLICK,"authenticated member GET can write visit logs"
EDGE-MY-SIGN-WITHDRAW,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,wallet,签到钱包立即提现,/plugin.php?id=tb_cus_xiguahh:tx,CLIP_AREA_HIT,true,FINANCE-SIGN-WITHDRAW,/plugin.php?id=tb_cus_xiguahh:tx,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"withdrawal was not submitted"
EDGE-MY-INVITE,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,tools,邀请好友,/plugin.php?id=xigua_hh&ac=invite,CLIP_AREA_HIT,true,GROWTH-INVITE,/plugin.php?id=xigua_hh&ac=invite,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"external sharing was not automated"
EDGE-MY-TEAM,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,tools,我的团队,/plugin.php?id=xigua_hh&ac=myfans,CLIP_AREA_HIT,true,GROWTH-TEAM,/plugin.php?id=xigua_hh&ac=myfans,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"relationship state was not changed"
EDGE-MY-CERTIFICATION,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,tools,实名认证,/plugin.php?id=xiaomy_certification,CLIP_AREA_HIT,true,ACCOUNT-CERTIFICATION,/plugin.php?id=xiaomy_certification,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"identity data was not submitted"
EDGE-MY-REFRESH,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,tools,刷新卡,/plugin.php?id=xigua_hb&ac=refresh&do=sxtc,CLIP_AREA_HIT,true,CONTENT-REFRESH-PACK,/plugin.php?id=xigua_hb&ac=refresh&do=sxtc,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"purchase was not clicked"
EDGE-MY-HEADLINE,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,tools,头条广告,/plugin.php?id=tb_toutiao,CLIP_AREA_HIT,true,PROMOTION-HEADLINE,/plugin.php?id=tb_toutiao,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"purchase was not clicked"
EDGE-MY-SUPER-HEADLINE,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,tools,超级头条,/plugin.php?id=tb_toutiao&modac=super_main,CLIP_AREA_HIT,true,PROMOTION-SUPER-HEADLINE,/plugin.php?id=tb_toutiao&modac=super_main,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"purchase was not clicked"
EDGE-MY-APP-DOWNLOAD,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,tools,APP/加速器,/done/app.html,CLIP_AREA_HIT,true,APP-DOWNLOAD-LANDING,/done/app.html,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"internal landing page is UI scope; downstream file destination remains external"
EDGE-MY-SIGNIN,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,bottom-nav,签到,/plugin.php?id=view&modac=sign,CLIP_AREA_HIT,true,REWARD-SIGNIN,/plugin.php?id=view&modac=sign,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"sign action was not clicked"
EDGE-MY-DIVIDEND,ACCOUNT-MY,/plugin.php?id=xigua_hb&ac=my,authenticated,390x844,bottom-nav,分红,/plugin.php?id=tb_cus_pipei,CLIP_AREA_HIT,true,REWARD-MATCH-DIVIDEND,/plugin.php?id=tb_cus_pipei,evidence/R05/reachability-correction/account-hub-clicked-entries.json,CLICK_PROVEN,"claim action was not clicked"
EDGE-DETAIL-REPORT,CONTENT-DETAIL,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},authenticated-isolated-fixture,390x844,detail-actions,举报,/plugin.php?id=xigua_hj,CLIP_AREA_HIT,true,SAFETY-REPORT,/plugin.php?id=xigua_hj,evidence/R05/reachability-correction/isolated-detail-click-audit.json,CLICK_PROVEN,"report form reached; no form submission"
EDGE-DETAIL-CHAT,CONTENT-DETAIL,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},authenticated-isolated-fixture,390x844,detail-actions,私信,/plugin.php?id=xigua_hb&ac=chat&touid={sanitized},CLIP_AREA_HIT,false,COMMUNICATION-CHAT-DETAIL,/plugin.php?id=xigua_hb&ac=chat&touid={sanitized},evidence/R05/reachability-correction/isolated-detail-click-audit.json,VISIBLE_ENTRY_PENDING_ISOLATED_CLICK,"requires synthetic peer and chat-state rollback"
EDGE-DETAIL-REDPACK-HIDDEN,CONTENT-DETAIL,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},authenticated-isolated-fixture,390x844,hidden-dom,红包明细,/plugin.php?id=xigua_hb&ac=hong_list&pubid={sanitized},ZERO_EXPOSED_AREA,false,CONTENT-REDPACK-LIST,/plugin.php?id=xigua_hb&ac=hong_list&pubid={sanitized},evidence/R05/reachability-correction/isolated-detail-click-audit.json,HIDDEN_OUT_OF_VISUAL_SCOPE,"source route exists but own size exposed area and hit are zero"
EDGE-DETAIL-CARD-ADD-HIDDEN,CONTENT-DETAIL,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},authenticated-isolated-fixture,390x844,hidden-dom,名片新增,/plugin.php?id=tb_cus_card&modac=add&mptype=2,ZERO_EXPOSED_AREA,false,CARD-ADD,/plugin.php?id=tb_cus_card&modac=add&mptype=2,evidence/R05/reachability-correction/isolated-detail-click-audit.json,HIDDEN_OUT_OF_VISUAL_SCOPE,"owner correction confirmed; isolated runtime also proves zero exposure"
EDGE-DETAIL-CARD-UPLOAD-HIDDEN,CONTENT-DETAIL,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},authenticated-isolated-fixture,390x844,hidden-dom,名片上传,/plugin.php?id=tb_cus_card&modac=upload,ZERO_EXPOSED_AREA,false,CARD-UPLOAD,/plugin.php?id=tb_cus_card&modac=upload,evidence/R05/reachability-correction/isolated-detail-click-audit.json,HIDDEN_OUT_OF_VISUAL_SCOPE,"owner correction confirmed; isolated runtime also proves zero exposure"
EDGE-DETAIL-COMMENT-ABSENT,CONTENT-DETAIL,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},authenticated-isolated-fixture,390x844,detail-runtime,评论,{none},NO_VISIBLE_ACTION,false,CONTENT-COMMENTS,{none},evidence/R05/reachability-correction/isolated-detail-click-audit.json,HIDDEN_OUT_OF_VISUAL_SCOPE,"source string exists but there is no visible or hittable comment action"
EDGE-DETAIL-LIKE-ABSENT,CONTENT-DETAIL,/plugin.php?id=xigua_hb&ac=view&pubid={sanitized},authenticated-isolated-fixture,390x844,detail-runtime,点赞,{none},NO_VISIBLE_ACTION,false,CONTENT-DETAIL,{none},evidence/R05/reachability-correction/isolated-detail-click-audit.json,HIDDEN_PROTOCOL_ONLY,"source string exists but there is no visible or hittable like action"
